titles,authors,years,ncitedby,linkfiles
"Introduction to the Minitrack on Data Analytics, Data Mining and Machine Learning for Social Media","D Haughton, D Yates, K Mentzer",2020,NA,https://scholarspace.manoa.hawaii.edu/bitstream/10125/64039/1/m-intro-0058.pdf
A Comprehensive Survey on Data Mining,A Kautkar Rohit,2014,2,https://www.academia.edu/download/41621105/A_COMPREHENSIVE_SURVEY_ON_DATA_MINING.pdf
Classifying twitter users for disaster response: a highly multimodal or simple approach,"J Diaz, L St Denis, MB Joseph, K Solvik…",2020,4,https://idl.iscram.org/files/jeremydiaz/2020/2270_JeremyDiaz_etal2020.pdf
The classification of customers' sentiment using data mining approaches,"D Muhammad, TA Rao, F Shahzad",2021,1,https://pdfs.semanticscholar.org/cd94/2014b4d071bdde9ce6cbadd4879622b93a5b.pdf
'A survey on analyzing and measuring trustworthiness of user-generated content on Twitter during high-impact events,"A Joshi, UDS Bedathur, V Goyal, PK PK",2013,1,https://www.researchgate.net/profile/Hye-Ryeon-Yong/publication/302869260_Brand_Clustering_Based_on_Social_Big_Data_A_Case_Study/links/62479f205e2f8c7a03520338/Brand-Clustering-Based-on-Social-Big-Data-A-Case-Study.pdf
Brand clustering based on social big data: a case study,"HN Kang, HR Yong, HS Hwang",2016,9,https://www.researchgate.net/profile/Magesh-Gopu/publication/328745927_Predictive_Analysis_of_Stocks_Using_Data_Mining_Proceedings_of_the_Second_International_Conference_on_SCI_2018_Volume_2/links/5c075018458515ae5447afa7/Predictive-Analysis-of-Stocks-Using-Data-Mining-Proceedings-of-the-Second-International-Conference-on-SCI-2018-Volume-2.pdf
Predictive Analysis of Stocks Using Data Mining kkS,"G Magesh, P Swarnalatha",NA,154,https://www.researchgate.net/profile/Sajana-Tiruveedhula/publication/298082409_A_Survey_on_Clustering_Techniques_for_Big_Data_Mining/links/5aa39ee145851543e63d7333/A-Survey-on-Clustering-Techniques-for-Big-Data-Mining.pdf
A survey on clustering techniques for big data mining,"T Sajana, CMS Rani, KV Narayana",2016,2,https://qmro.qmul.ac.uk/xmlui/bitstream/handle/123456789/77437/White%20Retrospectively%20evidencing%20research%202022%20Published.pdf?sequence=2
Retrospectively evidencing research impact using online data mining,"CD White, A Phillips, B Sajonia-Coburgo-Gotha",2022,NA,https://biocreative.bioinformatics.udel.edu/media/store/files/2021/Track3_pos_2_BC7_submission_127.pdf
EFFECTIVE MULTILAYERED MODEL FOR ANALYSIS OF STUDENTS BEHAVIOR USING SOCIAL MEDIA MINING,"M Emmanuel, N Chacko",NA,6,https://www.ijccr.com/March2016/2.pdf
Mining Real Time Tweets for Cover Picture Suggestion by Text Mining Techniques,NM Zalavadiya,2016,8,https://www.academia.edu/download/54639628/IRJET-V3I5547.pdf
Candidate ranking and evaluation system based on digital footprints,"V Dandwani, V Wadhwani, R Chawla…",2017,325,https://www.academia.edu/download/53738564/G1901043538.pdf
Social Media Analytics using Data Mining,M Anandhavalli,2018,20,https://www.researchgate.net/profile/Jeryda-Gnanajane-Eljo/publication/335168988_International_Conference_on_Data_Analytics_Visualization/links/5d541c0ea6fdcc85f8922886/International-Conference-on-Data-Analytics-Visualization.pdf#page=194
A study of clustering taxonomy for big data mining with optimized clustering mapreduce model,"KK Pandey, D Shukla",2019,NA,https://www.researchgate.net/profile/Kamlesh-Pandey/publication/335207799_A_Study_of_Clustering_Taxonomy_for_Big_Data_Mining_with_Optimized_Clustering_MapReduce_Model/links/5d56d05b299bf151bad95ba3/A-Study-of-Clustering-Taxonomy-for-Big-Data-Mining-with-Optimized-Clustering-MapReduce-Model.pdf
Application of big data in education data mining and learning analytics–a literature review,"K Sin, L Muthu",2015,NA,https://www.academia.edu/download/38812834/IJSC_Paper_6_pp_1035_1049.pdf
A DATA MINING-‐BASED METHODOLOGY FOR BRAND MONITORING IN SOCIAL NETWORKS,"LA Silva, OB Coelho, B Okamoto, M Santos, R Sakami",NA,10,https://www.researchgate.net/profile/Orlando-Bisacchi-Coelho/publication/305650221_A_Data_Mining_Based_Methodology_for_Brand_Monitoring_in_Social_Networks/links/579774da08aeb0ffcd06d8d8/A-Data-Mining-Based-Methodology-for-Brand-Monitoring-in-Social-Networks.pdf
Gender and authorship categorisation of Arabic text from Twitter using PPM,"M Altamimi, WJ Teahan",2017,4,https://www.academia.edu/download/53068044/12.pdf
Social Media Monitoring by Using Data Mining,F Basık,NA,6,https://www.researchgate.net/profile/Bassel-Diab/publication/342124082_BASIQ_2020_Conference_proceedings/links/5ee37056458515814a583fe1/BASIQ-2020-Conference-proceedings.pdf#page=1225
Mining social media to identify the immediate impact of COVID-19 pandemic on the Romanian retailers: early findings,"A Reveiu, DC Arghir",2020,2,https://www.academia.edu/download/42047280/COMPUSOFT__34__738-742.pdf
Exploring the potential of social media data using text mining to augment business intelligence,"A Sheshasaayee, R Jayanthi",2014,38,https://graphex.mit.edu/sites/default/files/documents/2016_Presentation_Chau.pdf
Data Mining Meets HCI,D Chau,2012,1,https://aclanthology.org/D13-1192.pdf
"A unified model for topics, events and users on twitter","Q Diao, J Jiang",2013,NA,https://anima-project.eu/fileadmin/user_upload/Dimitris_Kotzinos_-_Capturing_Twitter_streams.pdf
Capturing Twitter Streams for Opinion Mining on Airport Noise,D Kotzinos,NA,NA,https://www.researchgate.net/profile/Jose-Saura/publication/332980361_Does_SEO_matter_for_early-stage_startups_Insights_from_visual_data_mining_and_topic-modeling_techniques/links/5cd55050299bf14d95878032/Does-SEO-matter-for-early-stage-startups-Insights-from-visual-data-mining-and-topic-modeling-techniques.pdf
Detection of suicide related posts in Twitter data streams,"P Penchalaiah, CR Devi, CS Ramya",2019,2,http://indusedu.org/pdfs/IJREISS/IJREISS_3061_76211.pdf
Web Mining and Analytics from Social Media,"H Jalal, F Salo, AB Nassif, A Shami",NA,6,https://www.researchgate.net/profile/Ali-Nassif/publication/318646106_Web_Mining_and_Analytics_from_Social_Media/links/5974740c0f7e9b40169ed1ec/Web-Mining-and-Analytics-from-Social-Media.pdf
Role of Social Networking Mining Techniques Current Technology,"S KHAN, DRA SEMWAL, MRG KUMAR",2022,87,https://www.ijfans.org/uploads/paper/d8a8b715dca5507b6a8a9ee341981628.pdf
Recent Themes in Case-Based Reasoning and Knowledge Discovery.,"I Bichindaritz, C Marling, S Montani",2017,3,https://people.unipmn.it/stefania/papers-pdf/C107.pdf
Data Mining and Revealing Hidden Sentiment in Tweets Using Spark,AAQ Aqlan,2022,5,http://article.ijodst.org/pdf/10.11648.j.ijdst.20220801.13.pdf
A novelty of data mining for promoting education based on FP-growth algorithm,"APU Siahaan, A Ikhwan, S Aryza",2018,NA,https://www.researchgate.net/profile/Ali-Ikhwan/publication/326853922_A_Novelty_of_Data_Mining_for_Promoting_Education_based_on_FP-Growth_Algorithm/links/5cca65b8299bf120978f5177/A-Novelty-of-Data-Mining-for-Promoting-Education-based-on-FP-Growth-Algorithm.pdf
Opinion Mining and Sentiment Analysis on Big Data,"S Choudhari, S Zade",2020,NA,https://www.academia.edu/download/65270313/CSEIT2063100.pdf
Hate Speech on Twitter,"H Watanabe, M Bouazizi, T Ohtsuki",2018,NA,https://www.researchgate.net/profile/Mondher-Bouazizi/publication/323205135_Hate_Speech_on_Twitter_A_Pragmatic_Approach_to_Collect_Hateful_and_Offensive_Expressions_and_Perform_Hate_Speech_Detection/links/5eb0236aa6fdcc7050a888a3/Hate-Speech-on-Twitter-A-Pragmatic-Approach-to-Collect-Hateful-and-Offensive-Expressions-and-Perform-Hate-Speech-Detection.pdf
"DIEGOLab16 at SemEval-2016 Task 4: Sentiment analysis in Twitter using centroids, clusters, and sentiment lexicons","A Sarker, G Gonzalez",2016,NA,https://aclanthology.org/S16-1031.pdf
Social Web Data Mining and Knowledge Discovery,"G Singh, R Pandya, B Prajapati, P Puvar",NA,NA,https://www.academia.edu/download/40012768/Social_Web_Data_Mining_and_Knowledge_Discovery_Gautam.pdf
Mining and profiling in social media,"X Hu, H Liu",2014,1,https://people.engr.tamu.edu/xiahu/papers/Encyclopedia_preprint.pdf
TExVis: An Interactive Visual Tool to Explore Twitter Data.,"SR Humayoun, S Ardalan, R AlTarawneh…",2017,8,https://diglib.eg.org/xmlui/bitstream/handle/10.2312/eurovisshort20171149/151-155.pdf?sequence=1
Behavioral analysis for child protection in social network through data mining and multiagent systems,"MSR Falcão Jr, EJT Gonçalves…",2016,2,https://www.academia.edu/download/47920762/PaperICEIS2016DeOliveiraM.pdf
BIG DATA MINING,"M Bohra-mustafa, M Patel-Mmpatel, J Kumar-jeet",NA,7,https://www.academia.edu/download/54340240/IRJET-V3I1152.pdf
A survey on motion picture prediction using data mining,"A More, S Khan, T Izzudeen",2019,4,https://www.academia.edu/download/59139480/V5I2-115620190506-94937-peefnj.pdf
Data Mining: The Future of Psychological Research… or a Runaway Train?,ME Gleason,NA,1,https://www.researchgate.net/profile/Morgan-Gleason/publication/309741470_Data_Mining_The_Future_of_Psychological_Research_or_a_Runaway_Train/links/5821a33608aea429b29e3db0/Data-Mining-The-Future-of-Psychological-Research-or-a-Runaway-Train.pdf
Data mining by means of generalized patterns,"L Cagliero, E Baralis",2012,NA,https://core.ac.uk/download/pdf/11425036.pdf
Data Mining Social Networks,"D Mining, O Kulikov",2009,NA,https://www5.in.tum.de/lehre/seminare/datamining/ss17/paper_pres/19_social_networks/Proseminar_Abgabe_Version.pdf
Analyzing Public Attitudes Toward COVID-19 Lockdown Measures Through Text Mining Twitter: São Paulo as a Case Study,J Han,2020,6,http://www.kadint.net/journals_n/1615307504.pdf
Urban Data and Urban Design: A Data Mining Approach to Architecture Education,D Fonseca,2017,1,https://cyberleninka.org/article/n/840462.pdf
"Data mining, visualizing, and analyzing faculty thematic relationships for research support and collection analysis","W Gao, L Wallace",2017,22,https://alair.ala.org/bitstream/handle/11213/17729/DataMiningVisualizingandAnalyzingFacultyThematicRelationships.pdf?sequence=1
A novel knearest neighbor distance based under sampling for improved opinion mining on skewed data using random forest,"PR Babu, BP Battula",2018,6,https://www.researchgate.net/profile/Bhanu-Battula/publication/324046911_A_novel_k-nearest_neighbor_distance_based_under_sampling_for_improved_opinion_mining_on_skewed_data_using_random_forest/links/6035e465299bf1cc26e7f3d7/A-novel-k-nearest-neighbor-distance-based-under-sampling-for-improved-opinion-mining-on-skewed-data-using-random-forest.pdf
Twitter sentiment analysis: An Arabic text mining approach based on COVID-19,S Albahli,2022,9,https://www.scienceopen.com/document_file/75388f66-0fb6-4404-a0c7-919d643c798b/PubMedCentral/75388f66-0fb6-4404-a0c7-919d643c798b.pdf
Business Intelligence for Social Networks Using Data Mining Techniques,"P Lissy, P Sudha",2016,NA,https://www.researchgate.net/profile/Palanichamy-Sudha/publication/329207818_Business_Intelligence_for_Social_Networks_Using_Data_Mining_Techniques/links/5bfcc94492851cbcdd745e0d/Business-Intelligence-for-Social-Networks-Using-Data-Mining-Techniques.pdf
Sports and social media: Twitter usage patterns during the 2013 super bowl broadcast,"H Lee, Y Han, KKO Kim, Y Kim",2014,NA,https://www.researchgate.net/profile/Dhruval-Shah-5/publication/352853937_Twitter_Based_Sentiment_Analysis_of_Each_Presidential_Candidate_Using_Long_Short-Term_Memory/links/60dcadcda6fdccb745f83824/Twitter-Based-Sentiment-Analysis-of-Each-Presidential-Candidate-Using-Long-Short-Term-Memory.pdf
Data Mining In LinkedIn: Related Research Paper,"D Aring, N Halley",NA,NA,https://www.academia.edu/download/32211031/2013_LACCEI_articulo_RP091.pdf
Real-Time Ransomware Infection Detection System Based on Social Big Data Mining,"M Kim, J Yun",2018,86,https://www.koreascience.or.kr/article/JAKO201835146900515.pdf
Political discourse among key Twitter users: The case of Sejong city in South Korea,"C Hsu, SJ Park, HW Park",2013,1,https://www.koreascience.or.kr/article/JAKO201307156441903.pdf
11. Reframing the Arab Spring: On Data Mining and the Field of Arab Internet Studies,LS Sakr,2021,12,https://library.oapen.org/bitstream/handle/20.500.12657/47210/1/9789048541508.pdf#page=242
MINING BIGDATA IN HEALTHCARE,R SNEHAA,NA,2,http://www.ijitet.com/NCFCSIT/NC15016.pdf
Mining trending hash tags for Arabic sentiment analysis,Y AlMurtadha,2018,22,https://pdfs.semanticscholar.org/5d7a/26a7f851087e5dd40433ccb5015b62f01cc9.pdf
Big data analytic and mining with machine learning algorithm,J Singh,2014,NA,https://www.ripublication.com/irph/ijict_spl/ijictv4n1spl_06.pdf
"Kimmons, R., & Veletsianos, G.(2018). Public Internet Data Mining Methods in Instructional Design, Educational Technology, and Online Learning Research …",R Kimmons,NA,NA,https://www.academia.edu/download/61619603/Public_Internet_Data_Mining_Methods_-_preprint20191227-27233-1a6huvl.pdf
Meme Detection of Journalists from Social Media by Using Data Mining Techniques,"S Khan, A Ashraf, M Shoaib, M Iftikhar, I Siddiq…",NA,NA,https://www.researchgate.net/profile/Imran-Siddique/publication/365318203_Meme_Detection_of_Journalists_from_Social_Media_by_Using_Data_Mining_Techniques/links/637603812f4bca7fd069e9eb/Meme-Detection-of-Journalists-from-Social-Media-by-Using-Data-Mining-Techniques.pdf
Traffic prediction and analysis using a big data and visualisation approach,"D McHugh, L Keyes",2015,18,http://www.socialmediamining.info/chapters/SMM-ch5.pdf
Data Mining Essentials,"R Zafarani, MA Abbasi, H Liu, C Draft",NA,3,https://www.academia.edu/download/47452269/04.pdf
EPH-Enhancement of Parallel Mining using Hadoop,"N Mangla, K Sushma",2016,28,https://www.ijresm.com/Vol.2_2019/Vol2_Iss4_April19/IJRESM_V2_I4_90.pdf
Targeted Advertisement using Behavioral Data and Social Data Mining,"D Koli, G Kotawadekar, P Kamble, P Pejlekar",NA,16,https://saiconference.com/Downloads/FTC2017/Proceedings/69_Paper_228-A_Technology_Forecasting_Framework_Enhanced.pdf
A Technology Forecasting Framework Enhanced via Twitter Mining,"A Breitzman, P Thomas",NA,1,https://www.researchgate.net/profile/Juan-Velasquez-3/publication/282481474_Studies_in_Computational_Intelligence/links/62b345eb89e4f1160c930132/Studies-in-Computational-Intelligence.pdf#page=117
Web opinion mining and sentimental analysis,"EM Taylor, C Rodríguez O, JD Velásquez…",2013,NA,http://www.jatit.org/volumes/Vol101No1/18Vol101No1.pdf
USERS OPINION MINING OF TIKTOK SHOP SOCIAL MEDIA COMMERCE TO FIND BUSINESS OPPORTUNITIES FOR SMALL BUSINESSES,"CIKA RATNAPURI, M KARMAGATRI…",2023,NA,https://www.researchgate.net/profile/T-Santhanakrishnan/publication/312514161_Sentiment_Analysis_of_Tweets_for_Inferring_Popularity_of_Mobile_Phones/links/5b5db0fe458515c4b25110d7/Sentiment-Analysis-of-Tweets-for-Inferring-Popularity-of-Mobile-Phones.pdf
Sentiment analysis of tweets for inferring popularity of mobile phones,"H Krishnan, M Sudheep…",2017,NA,https://cs.union.edu/Archives/SeniorProjects/2017/CS.2017/files/cheek/cheek-499-report.pdf
Sentiment Analysis of Social Media for Evaluating Universities,"A Tummel, SJA Richert",2015,3,https://www.researchgate.net/profile/Natalie-Walker-15/publication/289530858_Proceedings_of_Second_International_Conference_on_Digital_Information_Processing_Data_Mining_and_Wireless_Communications_DIPDMWC2015_Dubai_UAE_2015/links/568f4b2b08aead3f42f0889d/Proceedings-of-Second-International-Conference-on-Digital-Information-Processing-Data-Mining-and-Wireless-Communications-DIPDMWC2015-Dubai-UAE-2015.pdf#page=52
A Study on Data Mining Techniques in Social Media,S Bhardwaj,2018,2,https://www.academia.edu/download/58257360/IRJET-V5I5515.pdf
Towards integrating online social networks and business intelligence,"PRS Costa, FF Souza, VC Times…",2012,3,https://www.researchgate.net/profile/Piet-Kommers-2/publication/323277996_WBC_CT_2012/links/5a8ba095aca272017e63ae0e/WBC-CT-2012.pdf#page=42
The challenges of mining social media data on a cluster/cloud environment,P van der Walt,NA,2,https://projects.cs.uct.ac.za/honsproj/cgi-bin/view/2018/dai_vanderwalt_young.zip/docs/vwlpie004_lit_review.pdf
A Twitter Opinion Mining Gold Standard for Brazilian Uprising in 2013,"TC de França, JO Gomes, J Oliveira",NA,2,https://www.researchgate.net/profile/Jonice-Oliveira/publication/328290121_A_Twitter_Opinion_Mining_Gold_Standard_for_Brazilian_Uprising_in_2013/links/5bc4b3e1299bf17a1c554cc5/A-Twitter-Opinion-Mining-Gold-Standard-for-Brazilian-Uprising-in-2013.pdf
Recurrent Chinese Restaurant Process with a Duration-based Discount for Event Identification from Twitter.(2014),"Q Diao, J JIANG",NA,NA,https://pdfs.semanticscholar.org/7eb3/8aa9b40af95e1fde430909f79458ad08ff40.pdf
Classification of student's e-learning experiences' in social media via text mining,"P Patel, K Mistry",2015,NA,https://www.academia.edu/download/47098377/L017368189.pdf
Review Paper on Ranking of Images Based on Caption on Social Media,"S Purbey, A Lahor, A Kulkarni, C Walunjkar…",2017,NA,https://www.academia.edu/download/53577888/IRJET-V4I4813.pdf
"Data mining then, now, and next",D Hand,2012,2,https://eprints.ncrm.ac.uk/id/eprint/2753/1/ESRC_research_methods_festival_talk_Hand_2012.pdf
Identification of Bots in Social Networks based on Data Mining Technologies,"II Ismagilov, AI Sabirova, DV Kataseva…",2020,38,http://www.ripublication.com/irph/ijert20/ijertv13n11_58.pdf
Data Mining using Python—course introduction,FÅ Nielsen,2014,NA,http://www2.compute.dtu.dk/pubdb/edoc/imm5935.pdf
"Oakland, CA 94619 Alan J. Ponte alanjponte@ gmail. com","SER App, T Data, MNFLS App",2013,NA,http://webdocs.cs.ualberta.ca/~zaiane/postscript/CICLing17.pdf
Classification in Data Mining: A Survey,"D Vaya, T Hadpawat",2020,2,https://www.researchgate.net/profile/Dipesh-Vaya-2/publication/351992808_Classification_in_Data_Mining_A_Survey/links/60b4a91d45851557baaf73eb/Classification-in-Data-Mining-A-Survey.pdf
Opinion mining using hybrid methods,"K Umamaheswari, SP Rajamohana…",2015,10,https://www.academia.edu/download/51438028/IJCA.pdf
Opinions on Opinion Mining: A Survey,"P Sharma, K Srivastava",2013,1,https://www.academia.edu/download/44365355/412-917-1-SM.pdf
Modeling of Tweet Summarization Systems using Data Mining Techniques: A Review Report,"VL Narasamma, M Sreedevi",2016,1,https://sciresol.s3.us-east-2.amazonaws.com/IJST/Articles/2016/Issue-44/Article147.pdf
Application of Text Mining to Analyze Customer Opinions on Social Media.,"RLR Maata, AP Pineda, FJ Epoc…",2021,27,http://www.gbmrjournal.com/pdf/v13n3/V13N3-1.pdf
A Survey on Real Time Sentiment Analysis Based on Social Media Mining,"A Vagadiya, S Patel",NA,NA,https://www.academia.edu/download/87722189/A_Survey_on_Real_Time_Sentiment_Analysis_Based_on_Social_Media_Mining.pdf
Crowdsourcing high-quality parallel data extraction from twitter,"W Ling, L Marujo, C Dyer, AW Black…",2014,NA,https://aclanthology.org/W14-3356.pdf
Data Mining to Track Suspicious Discussions on Online Forums,SMZM Zahoor,NA,NA,https://www.irjweb.com/Data%20Mining%20to%20Track%20Suspicious%20Discussions%20on%20Online%20Forums.pdf
Assessing Security of Twitter by Sentimental Analysis using Deep Learning,"AA Palherkar, A Singh, SS Sharma, U Srivastava…",NA,2,https://www.academia.edu/download/100246781/Assessing_Security_of_Twitter_by_Sentimental_Analysis_using_Deep_Learning.pdf
Mining the Web for Insights on Violence Against Women,"J Zahir, H Mousannif",2019,25,https://data2x.org/wp-content/uploads/2019/10/MiningWebViolenceAgainstWomen.pdf
Study on the legal framework of text and data mining (TDM),"JP Triaille, J de Meeûs d'Argenteuil…",2014,53,https://www.fosteropenscience.eu/sites/default/files/original/3476.pdf
Data mining Framework for Finding Friends in Online Social Network Using Minimum Information,R Rajkumar,NA,4,https://www.researchgate.net/profile/Rajkumar-Ramasamy-12/publication/357256003_Data_mining_Framework_for_Finding_Friends_in_Online_Social_Network_Using_Minimum_Information/links/61c3ba4fabcb1b520ada3b27/Data-mining-Framework-for-Finding-Friends-in-Online-Social-Network-Using-Minimum-Information.pdf
Analyzing the performance of SVM for polarity detection with different datasets,"M Ahmad, S Aftab",2017,3,http://www.mecs-press.net/ijmecs/ijmecs-v9-n10/IJMECS-V9-N10-4.pdf
Subjective Text Mining for Arabic Social Media,AM Hafez,2017,NA,https://scholar.archive.org/work/a5jyilxu5bettmo2b2f33bh7gq/access/wayback/http://pdfs.semanticscholar.org/4cf8/fd980cf1d9b66fff36b887c428452fef64df.pdf
Automatic detection of abuse on social media,"M Medvedeva, E Agbozo…",2016,NA,https://www.researchgate.net/profile/Ebenezer-Agbozo/publication/308115210_AUTOMATIC_DETECTION_OF_ABUSE_ON_SOCIAL_MEDIA/links/5f2c368a92851cd302e4df53/AUTOMATIC-DETECTION-OF-ABUSE-ON-SOCIAL-MEDIA.pdf
Classification of twitter data set using SVM and KSVM,"K Maheswari, PPA Priya",2018,NA,https://www.researchgate.net/profile/Reem-Ali-35/publication/361040293_Cyberbullying_Detection_in_Syrian_Slang_on_Social_Media_by_using_Data_Mining/links/62993674c660ab61f85c52bc/Cyberbullying-Detection-in-Syrian-Slang-on-Social-Media-by-using-Data-Mining.pdf
Cyberbullying Detection in Syrian Slang on Social Media by using Data Mining,"RT Ali, MB Kurdy",NA,NA,https://www.academia.edu/download/41266378/IJSRDV3I80299.pdf
A Review on Data Mining With Big Data,VM Akanksha,NA,1,https://www.academia.edu/download/52610407/IJCST-V5I2P60.pdf
Collaborative Mobile E-Health Employing Data Mining and Social Networking,"Y Liu, X Hu, C Zhu, B Seet, CM Victor, HS Chu…",2013,12,https://www.iaeng.org/publication/IMECS2013/IMECS2013_pp602-607.pdf
Cyber Bullying Detection on Twitter Mining,"S Wade, M Parulekar, K Wasnik",2020,3,https://www.academia.edu/download/64692893/IRJET_V7I7561.pdf
A framework for blog data collection: challenges and opportunities,"MN Hussain, A Obadimu, KK Bandeli…",2017,1,https://www.researchgate.net/profile/Muhammad-Hussain-88/publication/322603677_A_Framework_for_Blog_Data_Collection_Challenges_and_Opportunities/links/608b1c96458515d315e6b04d/A-Framework-for-Blog-Data-Collection-Challenges-and-Opportunities.pdf
Automatic Filtration of Misleading Youtube Videos using Data Mining Techniques,P Nima,2020,4,https://www.researchgate.net/profile/Prateek-Nima-2/publication/339615759_Automatic_Filtration_of_Misleading_Youtube_Videos_using_Data_Mining_Techniques/links/5e5c6267a6fdccbeba1255e2/Automatic-Filtration-of-Misleading-Youtube-Videos-using-Data-Mining-Techniques.pdf
Survey of data mining usage in cloud computing,"M Zauir, MM Al Rahhal, A Al-Faifi…",2013,14,https://www.researchgate.net/profile/Abdullah-Al-Faifi/publication/312211163_Survey_of_Data_Mining_Usage_in_Cloud_Computing/links/58b1adeb92851cf7ae8eb8b8/Survey-of-Data-Mining-Usage-in-Cloud-Computing.pdf
Predicting Temperament using Keirsey's Model for Portuguese Twitter Data.,"CF Claro, ACES Lima, LN de Castro",2018,NA,https://pdfs.semanticscholar.org/8b4b/0795f52aa46bc98f08bbd555f1a573e114a1.pdf
Wipe to Big Data Mining Applications and Several Challenges,YAM Alanbaky,2016,NA,https://www.researchgate.net/profile/Yasir-Ali-Matnee/publication/317012221_Wipe_to_Big_Data_Mining_Applications_and_Several_Challenges/links/591e9e590f7e9b642817e011/Wipe-to-Big-Data-Mining-Applications-and-Several-Challenges.pdf
An Ontology-Based Approach to Social Media Mining for Crisis Management.,"V Zavarella, H Tanev, R Steinberger…",2014,NA,https://ceur-ws.org/Vol-1329/papersmile_4.pdf
Evaluation of Top Organizations rating using data mining,"MCS Ritu, P Sharma",NA,NA,https://ijics.com/gallery/63-june-1337.pdf
Role Of Various Data Mining Techniques Used For Social Media Data,SS Sarangi,2021,5,https://pdfs.semanticscholar.org/4ff3/2f58a43f319d9b0be86134b3e3ef48a137cd.pdf
Tweet-based Target Market Classification Using Ensemble Method.,"MAK Anshary, BR Trilaksono",2016,12,https://ceur-ws.org/Vol-1609/16091207.pdf
Semantic Mapping: Towards Contextual and Trend Analysis of Behaviours and Practices.,F Murtagh,2016,3,http://ijsetr.com/uploads/245316IJSETR7070-1429.pdf
Mining Auto Parallelization with Multiplicative Algorithms for Big Data,G VIVEKANAND,2015,22,https://www.petsymposium.org/2014/papers/Overdorf.pdf
Blogs and Twitter Feeds: A Stylometric Environmental Impact Study,"R Overdorf, T Dutko, R Greenstadt",2014,NA,https://www.academia.edu/download/52610402/IJCST-V5I2P59.pdf
Data mining with Big Data in Health Informatics,VM Akanksha,NA,NA,https://www.academia.edu/download/45562459/IJCST_p20_3_5_published.pdf
Feature reduction using principal component analysis for opinion mining,"J Jotheeswaran, R Loganathan…",2012,NA,http://www.ijecbs.com/July2016/9.pdf
Effective Approach for Sentiment Opinion Mining using Natural Language Extraction and Tweets Evaluation,S Kaur,NA,NA,http://article.ajodmkd.org/pdf/10.11648.j.ajdmkd.20220702.11.pdf
Tweet Data Mining: the Cultural Microblog,CD Set,NA,71,https://ceur-ws.org/Vol-1609/16091246.pdf
The analysis of architectural discourse in the context of computational public opinion: Data mining of Google map reviews,"H Taşdelen, L Gül",NA,26,https://conf.dap.tuwien.ac.at/papers/sigradi/2022/sigradi2022_258.pdf
Online topic model for twitter considering dynamics of user interests and topic trends,"K Sasaki, T Yoshikawa, T Furuhashi",2014,64,https://aclanthology.org/D14-1212.pdf
Now we stronger than ever: African-American English syntax in Twitter,I Stewart,2014,10,https://aclanthology.org/E14-3004.pdf
Impact of big data and social media on society,S Kumari,2016,2,https://www.researchgate.net/profile/Savita-Kumari-6/publication/306034329_impact_of_big_data_and_social_media_on_society/links/57abec7308ae7a6420bfe679/impact-of-big-data-and-social-media-on-society.pdf
Evaluation and Development of Data Mining Tools for Online Social Networks,"D Murthy, A Gross, A Takata, S Bond",NA,NA,https://www.dhirajmurthy.com/wp-content/uploads/2012/04/Evaluation-and-Development-of-Data-Mining-Tools-for-Online-Social-Networks.pdf
Use of Social Media for Data Mining in Pharmacovigilance,"N Dasgupta, C Pierce",2015,NA,https://isoponline.org/wp-content/uploads/2015/presentation-pdfs/2015/0830_O-27-Dasgupta-ISOP-Prague-Oct%202015-v2.pdf
Ut-db: An experimental study on sentiment analysis in twitter,"Z Zhu, D Hiemstra, P Apers…",2013,NA,https://aclanthology.org/S13-2063.pdf
Towards social media mining: Twitterobservatory,"I Novalija, M Papler, D Mladenić",2014,NA,https://ailab.ijs.si/Dunja/SiKDD2014/Papers/Novalija_TwitterObservatory.pdf
Highlighting the Most Important Issue of Social Media in Bangladesh using Data Mining,"NR Dev, MS Hossen",NA,1,https://www.academia.edu/download/53880397/Conf2017-ICBBAHE-125-Highlighting_the_most_important_issuse_of_social_media_in_bangladesh.pdf
Text Mining: The Gold Rush of Big Data,A Aw,NA,7,https://engg.dypvp.edu.in/ijdsmla/downloads/VI/DSMLA-3-2021.pdf
Depression Detection Using Social Networking Sites Via Data Mining,"S Pande, P Chendake, P Lohe, P Lokhande",2021,2,https://www.annaeveryday.com/s/Internet_Research_Ethics_for_the_Social_Age.pdf#page=263
An ethical inquiry into youth suicide prevention using social media mining,A Eskisabel-Azpiazu…,2017,6,https://core.ac.uk/download/pdf/235196763.pdf
Tweet Mining from General Elections of a Country,"MN Hayat, N Fida, H Khan, M Sohail",2016,3,https://www.ijeter.everscience.org/Manuscripts/Volume-6/Issue-4/Vol-6-issue-4-M-21.pdf
IPB-Implementation of Parallel Mining for Big Data,"N Mangla, K Sushma, L Kumble",2016,NA,https://www.revistaclinicapsicologica.com/data-cms/articles/20210531120425pmSSCI-506.pdf
Does formal or informal institution prevail regarding the perception of wearing masks during the COVID-19 pandemic? Evidence from French Tweets,"RYM Li, R Pu, T Chankoson…",2021,NA,https://www.ijrar.org/papers/IJRAR1CLP013.pdf
A CRITICAL REVIEW ON DENSITY-BASED CLUSTERING ALGORITHMS AND THEIR PERFORMANCE IN DATA MINING,"J Ravi, S Kulkarni",2022,NA,http://www.inass.org/2020/2020103110.pdf
